ID_0,ISO,NAME_0,ID_1,NAME_1,ID_2,NAME_2,HASC_2,CCN_2,CCA_2,TYPE_2,ENGTYPE_2,NL_NAME_2,VARNAME_2,X,Y,OBJECTID,OBJECTID_1,IND_adm2_3,district_c,IND_adm2_5,Rename_dup,Shape_Area,F_AREA,GW_dev_sta,Irrig_cov_,GW____,Sw____,aridity,urban_no_u,arid_or_se,Aquifer_ty,Himalayan,ration__cu,Prod_ha__I,Rainfall__,Slope,Yield,CI_____1,Yield_CI,GW_dev_2,Layer_1,Layer_2,Layer_3,Layer_4,CI_yield,map,combined,State_Tex,Dist_Text,C_Land_Rc,T_Land_Rc,F__Land_Re,C_Irr_Ex_G,T_Irr_Ex_G,F__Irr_Ex_,C_SWC,T_SWC,F__SWC,C_Irr_Ex_S,T_Irr_Ex_S,F__Irr_Ex1,C_Aqua_C,T_Aqua_C,F__Aqua_C,C_GWR_WC,T_GWR_WC,F__GWR_WC,C_Irr_Eff,T_Irr_Eff,F__Irr_Eff,C_E_FC,T_E_FC,F__E_FC,C_WSM,T_WSM,F__WSM,C_AGF,T_AGF,F__AGF,C_DHVC,T_DHVC,F__DHVC,C_IE_DP,T_IE_DP,F__IE_DP,C_AMIY,T_AMIY,F__AMIY,C_LR,T_LR,F__LR,C_WH,T_WH,F__WH,C_Others,T_Others,F__Others,C_GwR,T_GwR,F__GwR,C_F_L,T_F_L,F__F_L,C_InSi_WC,T_InSi_WC,F__InSi_WC,C_IR_E,T_IR_E,F__IR_E,C_CRD,T_CRD,F__TRD,C_PHS,T_PHS,F__PHS,C_P_R,T_P_R,F__P_R,C_S_H,T_S_H,F__S_H,C_L_R,T_L_R,F__L_R,C_Ag_All,T_Ag_All,F__Ag_All,C_Water,T_Water,F__Water,C_NRM_AG,T_NRM_AG,F__NRM_AG,C_No_NRM,T_No_NRM,F__No_NRM,C_NR_No_AG,T_NR_No_AG,F__NR_No_A,C_No_NR_Ag,T_No_NR_Ag,F__No_NR_A,C_NRM,T_NRM,F__NRM,C_Non_NRM,T_Non_NRM,F__Non_NRM,OBJECTID_2,DIST_C,Old_Dist,District_A,Adaptation,Mitigation,Replacment,General_SI
105,IND,India,1,Andaman and Nicobar,2,North and Middle Andaman,IN.AN.NM,0,,District,District,,,92.87290000000,12.85290000000,9,142,Andaman and Nicobar,2,North and Middle Andaman,North and Middle Andaman,0.28368088667,3406526414.06000000000,0.00000000000,0.00000000000,0.00568181797,0.99431836291,0.00000000000,island,,HR,0,0.02396749653,0,0.00000000000,6.29771528290,42,Low,42,Safe,5,B,iv,,42,other,13,Andaman and Nicobar,North and Middle Andaman,162,388,42,4,388,1,196,388,51,1,388,0,1,388,0,1,388,0,0,388,0,22,388,6,291,2436,12,51,2436,2,38,2436,2,5,2436,0,6,2436,0,1657,2436,68,196,2436,8,63,2436,3,1,2436,0,3,2436,0,124,2436,5,0,2436,0,NA,NA,NA,NA,NA,NA,57,2373,2,6,2373,0,1405,2373,59,2,2373,0,903,2373,38%,1863,3799,49,1426,3799,38,508,3799,13,2,3799,0,2371,3799,62,1429,3799,38,142,2,North and Middle Andaman,North and Middle Andaman,Moderatly Suitable,Moderatly Suitable,Moderatly Suitable,Moderatly Suitable
105,IND,India,1,Andaman and Nicobar,3,South Andaman,IN.AN.SA,0,,District,District,,,92.66510000000,11.52810000000,10,143,Andaman and Nicobar,3,South Andaman,South Andaman,0.20532085644,2477538079.10000000000,0.00000000000,0.00000000000,0.00568181813,0.99431823731,0.00000000000,island,,HR,0,0.02474805597,0,0.00000000000,5.57097429816,42,Low,42,Safe,5,B,iv,,42,other,13,Andaman and Nicobar,South Andaman,46,219,21,11,219,5,136,219,62,0,219,0,18,219,8,2,219,1,2,219,1,4,219,2,96,586,16,3,586,0,NA,NA,NA,11,586,2,3,586,1,155,586,26,134,586,23,84,586,14,2,586,0,18,586,3,74,586,13,2,586,0,4,586,1,NA,NA,NA,3,563,1,3,563,1,110,563,19,0,563,0,447,563,79%,238,933,26,370,933,40,325,933,35,0,933,0,563,933,60,370,933,40,143,3,South Andaman,South Andaman,Moderatly Suitable,Moderatly Suitable,Moderatly Suitable,Moderatly Suitable
105,IND,India,2,Andhra Pradesh,4,Anantapur,IN.AD.AN,0,,District,District,,"Anantpur, Ananthapur",77.57080000000,14.47510000000,158,1,Andhra Pradesh,4,Anantapur,Anantapur,1.61187567452,19226523073.70000000000,88.95969284550,18.58019376020,0.73467617006,0.26532373102,0.33153037701,,,HR,0,0.50027612127,16477,575.58493786300,2.61470875729,Low,Low,LL,Not Safe,2,C,iv,,LL,m11,8,Andhra Pradesh,Anantapur,341,178102,0,177,178102,0,147041,178102,83,7135,178102,4,616,178102,0,2901,178102,2,5711,178102,3,14181,178102,8,73215,245201,30,6201,245201,3,38539,245201,16,7310,245201,3,4136,245201,2,14907,245201,6,88123,245201,36,2155,245201,1,2901,245201,1,874,245201,0,1123,245201,0,5711,245201,2,3,245201,0,4,245201,0,44526,245201,18,4136,245201,2,14782,245201,6,262,245201,0,181494,245201,74%,167260,296593,56,51415,296593,17,77656,296593,26,262,296593,0,244915,296593,83,51678,296593,17,1,4,Anantapur,Anantapur,Highly Suitable,Moderatly Suitable,Highly Suitable (Community Wells),Highly Suitable (Adaptation + On Grid Community We
105,IND,India,2,Andhra Pradesh,5,Chittoor,IN.AD.CH,0,,District,District,,Chitoor|Chittor,79.00390000000,13.45660000000,328,2,Andhra Pradesh,5,Chittoor,Chittoor,1.26620966433,15168786405.10000000000,58.91526891470,43.04038564440,0.74102099651,0.25897931098,0.49781469226,,,HR,0,0.25365842495,32794,950.75741720800,4.86643726772,Medium,Low,LL,Safe,2,B,iv,alpha,LM,m7b,7,Andhra Pradesh,Chittoor,958,100381,1,323,100381,0,73436,100381,73,7433,100381,7,9538,100381,10,1250,100381,1,3807,100381,4,3636,100381,4,29517,161379,18,7195,161379,4,31495,161379,20,7756,161379,5,4064,161379,3,16893,161379,10,47575,161379,29,3,161379,0,1250,161379,1,9850,161379,6,1968,161379,1,3807,161379,2,6,161379,0,NA,NA,NA,37996,161379,24,4064,161379,3,16630,161379,10,312,161379,0,102376,161379,63%,118228,207155,57,45776,207155,22,42839,207155,21,312,207155,0,161067,207155,78,46087,207155,22,2,5,Chittoor,Chittoor,Highly Suitable,Moderatly Suitable,Highly Suitable (Community Wells),Highly Suitable (Adaptation + On Grid Community We
105,IND,India,2,Andhra Pradesh,6,East Godavari,IN.AD.EG,0,,District,District,,,82.00100000000,17.18390000000,546,3,Andhra Pradesh,6,East Godavari,East Godavari,0.91350711394,10754821782.30000000000,21.17250064380,74.01991552020,0.24663838460,0.75336133118,0.69637774054,,,HR,0,0.37603885591,61517,1118.03500690000,5.70615946393,High,Medium,HH,Safe,1,B,iv,,MH,m6b,2,Andhra Pradesh,East Godavari,659,81208,1,542,81208,1,56538,81208,70,10441,81208,13,127,81208,0,174,81208,0,12585,81208,15,142,81208,0,414,95326,0,1947,95326,2,3436,95326,4,10983,95326,12,2092,95326,2,5777,95326,6,56148,95326,59,880,95326,1,174,95326,0,556,95326,1,332,95326,0,12585,95326,13,3,95326,0,NA,NA,NA,5099,95326,5,2092,95326,2,5403,95326,6,429,95326,0,82303,95326,86%,39708,141544,28,46336,141544,33,55071,141544,39,429,141544,0,94779,141544,67,46765,141544,33,3,6,East Godavari,East Godavari,Highly Suitable,Moderatly Suitable,Highly Suitable (Community Wells),Highly Suitable (Adaptation + On Grid Community We
105,IND,India,2,Andhra Pradesh,7,Guntur,IN.AD.GU,0,,District,District,,,80.08130000000,16.29140000000,537,4,Andhra Pradesh,7,Guntur,Guntur,0.96480316903,11410923845.30000000000,38.57452363130,64.93975310180,0.19604421735,0.80395664978,0.48076268809,,,HR,0,0.63774626503,54937,897.70431442600,1.68315025643,High,Low,LH,Safe,3,B,iv,,LH,L-H-HR-S,9,Andhra Pradesh,Guntur,49,35819,0,16,35819,0,4223,35819,12,20315,35819,57,4,35819,0,17,35819,0,11176,35819,31,19,35819,0,36,40924,0,872,40924,2,1329,40924,3,20331,40924,50,1447,40924,4,1466,40924,4,4187,40924,10,28,40924,0,17,40924,0,20,40924,0,0,40924,0,11176,40924,27,14,40924,0,NA,NA,NA,2107,40924,5,1447,40924,4,1525,40924,4,16,40924,0,35830,40924,88%,38159,64668,59,23762,64668,37,2731,64668,4,16,64668,0,40890,64668,63,23778,64668,37,4,7,Guntur,Guntur,Highly Suitable,Moderatly Suitable,Highly Suitable (Community Wells),Highly Suitable (Adaptation + On Grid Community We
105,IND,India,2,Andhra Pradesh,8,Krishna,IN.AD.KR,0,,District,District,,Kistna,80.79290000000,16.55040000000,331,5,Andhra Pradesh,8,Krishna,Krishna,0.72945176908,8616097659.46000000000,36.87146533650,55.39058599250,0.13872506373,0.86127478012,0.59841092560,,,SR,0,0.69183691962,44069,928.35708844700,1.42007416116,High,Medium,HH,Safe,1,B,v,,MH,m1b,1,Andhra Pradesh,Krishna,1247,76185,2,13,76185,0,17303,76185,23,26671,76185,35,95,76185,0,5,76185,0,30823,76185,40,28,76185,0,523,86726,1,1844,86726,2,605,86726,1,26684,86726,31,2744,86726,3,6265,86726,7,16790,86726,19,171,86726,0,5,86726,0,186,86726,0,6,86726,0,30823,86726,36,79,86726,0,NA,NA,NA,2397,86726,3,2744,86726,3,5147,86726,6,91,86726,0,76347,86726,88%,73685,119507,62,32795,119507,27,12936,119507,11,91,119507,0,86621,119507,72,32886,119507,28,5,8,Krishna,Krishna,Highly Suitable,Moderatly Suitable,Highly Suitable (Community Wells),Highly Suitable (Adaptation + On Grid Community We
105,IND,India,2,Andhra Pradesh,9,Kurnool,IN.AD.KU,0,,District,District,,,78.00000000000,15.52800000000,491,6,Andhra Pradesh,9,Kurnool,Kurnool,1.49762700095,17778398456.30000000000,41.80770444380,28.10382831990,0.52215353318,0.47784637639,0.35150371733,,,HR,0,0.52362642885,22115,688.21613731900,2.47142533305,Medium,Low,LL,Safe,2,B,iv,beta,LM,m8b,6,Andhra Pradesh,Kurnool,306,127516,0,572,127516,0,73661,127516,58,17916,127516,14,525,127516,0,2104,127516,2,16040,127516,13,16391,127516,13,24135,161885,15,4036,161885,2,6927,161885,4,18488,161885,11,3282,161885,2,19666,161885,12,65916,161885,41,252,161885,0,2104,161885,1,658,161885,0,379,161885,0,16040,161885,10,3,161885,0,NA,NA,NA,10737,161882,7,3282,161882,2,19588,161882,12,133,161882,0,128142,161882,79%,141362,200585,70,38706,200585,19,20383,200585,10,133,200585,0,161746,200585,81,38839,200585,19,6,9,Kurnool,Kurnool,Very Highly Suitable,Moderatly Suitable,Highly Suitable (Community Wells),Highly Suitable (Adaptation + On Grid Community We
105,IND,India,2,Andhra Pradesh,10,Nellore,IN.AD.NE,0,,District,District,,,79.72000000000,14.43530000000,457,7,Andhra Pradesh,10,Nellore,Nellore,1.09117202638,13017831785.50000000000,37.92824807470,73.06135320510,0.45117844335,0.54882178931,0.53005864629,,,HR,0,0.27769998109,37897,1070.25756581000,2.14977873314,High,Low,LH,Safe,3,B,iv,,LH,L-H-HR-S,9,Andhra Pradesh,Nellore,3420,140656,2,1182,140656,1,75942,140656,54,25352,140656,18,288,140656,0,3830,140656,3,15277,140656,11,15366,140656,11,15751,169658,9,5199,169658,3,8465,169658,5,26534,169658,16,3996,169658,2,11881,169658,7,75519,169658,45,2366,169658,1,3830,169658,2,668,169658,0,150,169658,0,15277,169658,9,24,169658,0,NA,NA,NA,13381,169645,8,3996,169645,2,8714,169645,5,380,169645,0,143175,169645,84%,101848,228318,45,58721,228318,26,67370,228318,30,380,228318,0,169218,228318,74,59101,228318,26,7,10,Nellore,Nellore,Highly Suitable,Moderatly Suitable,Highly Suitable (Community Wells),Highly Suitable (Adaptation + On Grid Community We
105,IND,India,2,Andhra Pradesh,11,Prakasam,IN.AD.PR,0,,District,District,,,79.50950000000,15.61140000000,334,8,Andhra Pradesh,11,Prakasam,Prakasam,1.49967616946,17795620541.80000000000,42.79224141820,26.78361244210,0.44644173553,0.55355829555,0.44026669036,,,HR,0,0.35157366331,28885,855.05083076900,3.63105378286,Medium,Low,LL,Safe,2,B,iv,alpha,LM,m7b,7,Andhra Pradesh,Prakasam,1742,245298,1,2268,245298,1,204443,245298,83,11067,245298,5,985,245298,0,2324,245298,1,5507,245298,2,16963,245298,7,53634,303572,18,6377,303572,2,27315,303572,9,13334,303572,4,4867,303572,2,18031,303572,6,167597,303572,55,2867,303572,1,2324,303572,1,1243,303572,0,420,303572,0,5507,303572,2,54,303572,0,NA,NA,NA,33162,303572,11,4867,303572,2,16854,303572,6,259,303572,0,248430,303572,82%,134058,381767,35,78359,381767,21,169091,381767,44,259,381767,0,303149,381767,79,78618,381767,21,8,11,Prakasam,Prakasam,Highly Suitable,Moderatly Suitable,Highly Suitable (Community Wells),Highly Suitable (Adaptation + On Grid Community We
